"","year","area","variable","Agua","Emisiones GEI","Emisiones de CO₂","Energía","Materiales","Nitrógeno","Tierras de cultivo","PIB","Población","IDH-A","IDH"
"115",1974,"España","Absoluto",7678746347.92785,182754044.998224,161930480,65742875.0637941,301556118.142148,1066209013.57575,21164267.0164035,435579703858.643,35184287,NA,NA
"116",1975,"España","Absoluto",7798909052.93096,189504085.144132,169489070,67412076.2386886,304851915.449553,1069663745.87262,21103264.9441095,448574393733.869,35563535,NA,NA
"117",1976,"España","Absoluto",8016058153.04933,204899447.784767,185724496,69820017.510848,359792627.709216,1064935395.37633,20946789.0687445,469577490917.457,35996780,NA,NA
"118",1977,"España","Absoluto",7258216288.59934,202514598.959344,181554864,70349649.8268026,361751684.87999,1167737575.99426,21097536.2949498,485921795128.957,36439000,NA,NA
"119",1978,"España","Absoluto",8628460959.39398,204854458.297059,185262556,74637821.7974963,366297862.22225,1117342112.35744,21098128.1609328,500155431706.438,36861034,NA,NA
"120",1979,"España","Absoluto",9047344728.61089,210931487.291099,189670874,75470762.1103761,368855864.300167,1222937528.28839,20897453.6170722,508825266672.174,37200014,NA,NA
"121",1980,"España","Absoluto",8784518256.54169,216980060.031998,200871472,76076634.4161917,378536512.062249,1306027381.9064,20867479.7641131,525059518250.851,37488360,NA,NA
"122",1981,"España","Absoluto",8997834708.67918,205055349.968546,192792606,75457542.7159389,359600426.627658,1119017900.44863,20713052.3102434,524559238029.544,37750800,NA,NA
"123",1982,"España","Absoluto",9730975125.66458,209929096.820172,195001744,74234129.3430811,371285927.054363,1198599540.25037,20776808.2857672,533517528688.697,37983310,NA,NA
"124",1983,"España","Absoluto",9763920874.24409,200359254.028597,189432464,74929343.3905293,368606482.121918,999758264.344066,20705496.0464722,543778598177.8,38184166,NA,NA
"125",1984,"España","Absoluto",9611938798.84796,195817336.200136,186116544,76649007.2423574,370267496.501237,1184522861.69622,20839824.0308909,549100160657.381,38362861,NA,NA
"126",1985,"España","Absoluto",11127182289.1413,197921290.761518,189010884,76520793.9313674,372546379.316382,1250040370.42749,20781909.0291656,566345411924.026,38534853,NA,NA
"127",1986,"España","Absoluto",11394355131.7251,195037412.468363,178180553,77165595.3059414,376063151.042938,1199796298.73624,20834114.8762945,590018528730.358,38707556,NA,NA
"128",1987,"España","Absoluto",11239701767.081,197333228.92108,179114640,78429025.96326,400635750.586078,1220782973.68022,20831241.1581847,632708971768.28,38880702,NA,NA
"129",1988,"España","Absoluto",9822664141.67525,207315912.339386,186068676,84160036.8913229,425150198.083921,1283802691.30879,20712900.4054821,674675616163.485,39053881,NA,NA
"130",1989,"España","Absoluto",10744507029.9508,237846149.798742,212698641,86354049.6121626,464986352.010893,1417205377.67169,20723650.1433356,719992393350.127,39214523,NA,NA
"131",1990,"España","Absoluto",12539017259.5952,242316907.023977,214222332,92027759.3644788,483744599.813604,1388013362.8265,20473699.5520715,756125026335,39350769,NA,NA
"132",1991,"España","Absoluto",11796645290.3223,251623724.105094,224624946,95385163.5969237,495442817.535942,1372845639.30083,20428499.8882248,786757887628.431,39420560,NA,NA
"133",1992,"España","Absoluto",10056836536.9631,259497306.876496,234755528,97008789.7669819,502504412.181654,1275942704.17149,20209739.4427959,803260916068.39,39512730,NA,NA
"134",1993,"España","Absoluto",9740921998.2693,247341118.309555,226660548,93287169.5349193,468938387.955203,1106976907.35766,19925917.1380542,794221319019.39,39599120,NA,NA
"135",1994,"España","Absoluto",12187859682.5724,263416216.721444,237053785,98180378.8872648,469323139.570626,1270754680.3392,18598071.1158432,820138252538.835,39670120,NA,NA
"136",1995,"España","Absoluto",11667325637.7962,277498353.280215,249980479,105490192.973536,491971527.584939,1175278747.87914,18866271.5986737,855020176278.939,39727550,NA,NA
"137",1996,"España","Absoluto",11425215551.6594,267136836.722091,237712262,104215496.103181,507312511.44329,1435707071.81755,19258075.3082945,885027537151.735,39892940,NA,NA
"138",1997,"España","Absoluto",11250275172.2738,279725788.863379,249436416,110529214.298653,525447210.51236,1325180229.60351,18759350.3484224,925901372023.028,40058700,NA,NA
"139",1998,"España","Absoluto",13051921997.5497,286195678.445346,256694461,115842908.516003,577081373.80316,1428283493.41457,18641680.6750881,976805848345.847,40222830,NA,NA
"140",1999,"España","Absoluto",13712770543.6564,313986096.423213,279283393,121341528.170823,620447250.925179,1495328188.53822,18342339.7534931,1031651319985.02,40378470,NA,NA
"141",2000,"España","Absoluto",14063834403.115,322896115.364016,290379110,126527643.126493,656175464.716004,1576315811.51035,18296009.3436465,1094998719877.22,40563230,NA,NA
"142",2001,"España","Absoluto",14046143089.1595,323161183.327341,292083420,129686240.201204,681179397.749472,1421946010.45903,18091933.4856537,1147959177819.94,40774930,NA,NA
"143",2002,"España","Absoluto",11617147649.8344,343958903.645918,311429154,133323638.751696,743267642.454549,1318989051.44879,18145458.0994003,1191323482591.21,41432550,NA,NA
"144",2003,"España","Absoluto",14539703020.7055,350540319.874393,315281398,137848458.008312,791952077.782115,1496333550.48676,18252520.9276362,1239651895463.59,42205420,NA,NA
"145",2004,"España","Absoluto",13102438322.4919,363420180.612853,331383984,143573117.089997,813886784.868296,1374685474.74576,18259146.4406954,1289831700015.14,42868510,NA,NA
"146",2005,"España","Absoluto",15635753793.4643,376298373.247307,345858807,146533372.404796,843161264.167039,1191678920.14125,17995348.9910367,1348839718543.91,43672120,NA,NA
"147",2006,"España","Absoluto",13614425245.6919,364754504.19416,336542859,146250014.03191,887987847.246821,1253080674.12019,17825366.7938089,1415738443538.46,44370190,NA,NA
"148",2007,"España","Absoluto",11901628540.9053,372973048.515245,344417465,148830123.97965,911250431.900601,1270941171.2078,17711317.7468065,1481143150342.81,45245870,NA,NA
"149",2008,"España","Absoluto",12280981441.4365,338996494.267878,316007765,143660717.897487,798719477.242432,1005523507.9755,17552761.5870092,1510615331292.28,45993190,NA,NA
"150",2009,"España","Absoluto",14397564409.2211,301378885.246785,280744143,132648475.817982,643228578.356015,1042145252.98473,17530681.7994162,1468765827220.74,46377650,NA,NA
"151",2010,"España","Absoluto",12535937747.1614,282833520.530235,267329574,132577299.021452,569656062.991988,1214407723.8135,17473684.1975361,1480376434759.73,46572630,NA,NA
"152",2011,"España","Absoluto",13836006725.3546,282613825.371045,269258932,131423557.458966,499205958.331545,1114904306.96569,17410548.384215,1477187504000,46746440,NA,NA
"153",2012,"España","Absoluto",16676163011.2206,277601018.051559,263973791,131020838.031375,402861009.802777,1092703342.39287,17474128.1025535,1433478674648.54,46776590,NA,NA
"154",2013,"España","Absoluto",13677012891.9623,248510059.625552,238449263,122697389.269149,375353805.215856,1222624541.08867,17038600.8135703,1413362066227.69,46603390,NA,NA
"155",2014,"España","Absoluto",15981051328.662,252613683.38421,239260860,120159179.712086,378973805.316912,1358664425.0684,17189160.4707378,1433089429473.77,46465240,NA,NA
"156",2015,"España","Absoluto",16479976158.8077,265311043.855283,255805289,124623008.80157,398396618.42277,1324554972.15106,17229388.3724025,1488098835872.44,46420260,NA,NA
"157",2016,"España","Absoluto",16237979546.8747,252707141.12212,244767180,125408513.893933,392221561.090107,1260774582.75004,17230350.3229835,1533303920138.57,46459990,NA,NA
"158",2017,"España","Absoluto",16486617536.4296,266643211.033328,258384276,131612966.591162,407268277.782576,1313477095.01689,17168952.6967687,1578931374052.46,46543010,NA,NA
"159",2018,"España","Absoluto",13534741603.237,258684908.510608,252024413,131312475.042755,440303118.31187,1302646502.97545,17040142.3408495,1615001576711.48,46738990,NA,NA
"160",2019,"España","Absoluto",17481030814.4299,241729683.968206,234853169,127777980.092354,434296046.245503,1266252257.52305,17321899.3317662,1647042661990.79,47115620,NA,NA
